Name,Team,Pos.,Bye,Rank (Overall rank based on Gridiron AI predicted points.),Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-GA Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-GA Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-GA TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-GA Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-GA Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-GA Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-GA Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
Andy Dalton,DAL,QB,10,49,126,25,184.6,83.7,291.4,17.5,31.7,249.3,2.3,2.3,36,41.7,100,100,52.2,54.8,2239,14225,322858
Kenny Golladay,DET,WR,5,50,14,7,184,95,273,8.1,8.2,60.7,0.3,0,4,7.7,38,76,17.4,18,4609,54244,697295
Jarvis Landry,CLE,WR,9,51,15,8,183.4,91.6,275.2,8,11.9,59.7,0.3,0,6,7.7,100,93.3,11.1,13.6,3405,31394,589991
Davante Adams,GB,WR,5,52,16,9,181.8,76.7,380.4,14.4,4.7,104,0.7,0.3,13,14,89,87.7,16.7,22,3535,45889,611417
Melvin Gordon,DEN,RB,8,53,73,19,181.4,67,295.8,13.8,11.8,77.7,1,0.7,21,17,47,49.3,58.3,52.5,3848,28900,606516
Keenan Allen,LAC,WR,10,54,17,10,178.3,87.2,269.4,10.4,7.1,82.3,0.3,0,10,10.3,94,91.7,13.9,17.3,3149,29253,557210
Adrian Peterson,WAS,RB,8,55,78,20,177.6,76.7,280.2,11.5,7.3,74.7,0.7,0.3,17,17.7,45,50.7,60.7,57.2,385,6703,267443
Courtland Sutton,DEN,WR,8,56,19,11,176.2,86.7,265.8,5.7,3.8,57.3,0,0.3,8,9.3,75,87.7,17.4,16.9,5037,57403,838878
DeAndre Hopkins,ARI,WR,8,57,20,12,174.9,65.7,284,7.1,9.6,71,0,0,,8.5,,99,,13.2,3115,16606,560241
Amari Cooper,DAL,WR,10,58,21,13,174.1,87.2,261.1,4.7,7.9,47,0,0,6,6.7,82,75.7,9.7,13.3,3862,31001,650914
Michael Gallup,DAL,WR,10,59,24,14,170.4,87.7,253,12.7,27.2,67.3,1,0,7,7,80,84.7,11.5,12.1,5078,69956,912070
Travis Kelce,KC,TE,10,60,6,1,169.4,105.1,233.8,10,11.8,80,0.3,0,5,9,88,88.7,10.4,15.4,3402,33076,448240
Josh Jacobs,OAK,RB,6,61,88,21,169.3,60.5,278,10.9,,109,0,0,,27,,57,,62.8,27024,72731,944416
Tarik Cohen,CHI,RB,11,62,89,22,169.1,68.4,269.6,6.1,5.2,60.7,0,0.3,14,12.7,44,54.3,42.4,30.9,4579,79974,756928
D.J. Moore,CAR,WR,13,63,25,15,168.6,83.6,253.6,6.2,12.2,62,0,0.5,,7.5,,53,,25.9,5022,63043,877790
John Brown,BUF,WR,11,64,27,16,167.8,85,250.7,10.8,1.7,77.5,0.5,0,,7.5,,95,,13,3496,54606,473742
Jaylen Samuels,PIT,RB,8,65,94,23,166.2,59.4,273,2,3.4,19.7,0,0,2,4.7,40,44,10,16.3,5162,55323,832232
DJ Chark,JAX,WR,7,66,29,17,166,82.7,249.2,2.6,1.6,26,0,0,5,6,78,82.5,9.3,11.2,5058,52917,822008
Stefon Diggs,BUF,WR,11,67,30,18,165.8,60.2,271.3,9.8,3.7,68.5,0.5,0,,6.5,,78,,14.1,3989,25079,694041
Terry McLaurin ,WAS,WR,8,68,32,19,163.2,82.8,243.6,13.8,10.4,108,0.5,0,,7,,88,,12.7,27017,56250,836116
Jamaal Williams,GB,RB,5,69,96,24,161.7,56.9,266.7,4.2,1.9,42.5,0,0,,8.5,,34,,37.8,4658,45631,695311
Nyheim Hines,IND,RB,7,70,100,25,160.6,60.4,260.8,6.5,11.4,24.7,0,0,12,6,55,29.3,38.7,33.8,5101,63625,880146
Phillip Lindsay,DEN,RB,8,71,101,26,160.5,59.9,261.1,8.8,14.6,67.7,0.3,0,19,16.7,57,51.3,54.3,49,26394,41426,747861
Odell Beckham Jr.,CLE,WR,9,72,40,20,158.9,78.1,239.8,10.4,7.5,63.7,0.7,0,6,8.3,91,92.7,12.2,14.1,5423,31360,589984
Kareem Hunt,CLE,RB,9,73,105,27,158.5,54.6,262.5,5.1,4,51,0,0,7,8.7,67,61.7,19.4,22.4,4558,45229,746613
James Conner,PIT,RB,8,74,107,28,158,54.3,261.6,7.2,7.9,41.5,0.5,0,,9.5,,35.5,,52.5,4603,40687,742390
D.K. Metcalf,SEA,WR,6,75,43,21,155,76.1,234,7.9,14.1,39,0.7,0,12,5.7,99,93,16.2,8.4,27092,73048,945633
David Montgomery,CHI,RB,11,76,114,29,154.3,52.7,256,9.4,12.4,73.7,0.3,0,23,17.3,65,54.7,46.9,42.9,27109,73273,946739
Tyler Lockett,SEA,WR,6,77,44,22,153.4,51.1,255.8,10.1,16.8,61,0.7,0.3,7,7.7,93,85.3,10,13.9,3784,27050,605242
Carlos Hyde,SEA,RB,6,78,117,30,150.9,50.6,251.3,9.1,15.1,51.3,0.7,0,4,16,8,44.7,80,62.7,3457,28473,543825
Jameis Winston,NO,QB,6,79,143,26,150.3,73.7,233.4,19.4,21.7,339.7,2.3,2.3,26,40,98,97.7,51,60.5,3869,24849,691536
Julian Edelman,NE,WR,6,80,49,23,149.9,55,244.9,4.2,8.3,35.7,0,0.3,7,6,89,74,13,12.3,1127,7859,334733
Calvin Ridley,ATL,WR,10,81,50,24,149.4,73.1,225.7,,,,,,,,,,,,5024,64555,884013
Raheem Mostert,SF,RB,11,82,120,31,149.1,50.7,248.2,14.2,8,61.7,1.3,0.3,12,13.3,54,53.7,44.4,43.4,3932,28744,606501
David Johnson,HOU,RB,8,83,121,32,148.1,42.7,255.1,0.7,0.1,6.5,0,0,,3,,21.5,,21.6,3841,62497,552409
Todd Gurley,ATL,RB,10,84,122,33,147.9,55.6,242.2,14.5,8.9,58.3,1.3,0,22,18.7,68,80.3,39.3,31.6,3948,30447,694641
Marlon Mack,IND,RB,7,85,123,34,147.5,49.3,246.5,12.6,17.8,65.7,1,0,16,15,48,47,59.3,53.8,4655,57909,840760
Latavius Murray,NO,RB,6,86,124,35,147.4,49.3,245.5,5,5,49.7,0,0,18,13.3,54,41,48.6,47.7,3423,34331,467405
Tyler Boyd,CIN,WR,9,87,53,25,146.2,52.8,239.5,11.1,22.2,71,0.7,0,7,9.7,83,87,12.3,14.2,4212,40669,742387
Peyton Barber,WAS,RB,8,88,128,36,143.2,51.3,237.6,2.9,2.7,29.3,0,0.3,10,9,31,23.3,62.5,60.7,4402,40857,744436
Jamison Crowder,NYJ,WR,11,89,57,26,143,66.6,219.3,13.2,15,72,1,0,10,9.7,82,84,18.2,18.4,3800,24755,599649
Darius Slayton,NYG,WR,11,90,59,27,139.8,65.9,213.6,4.7,9.1,27,0.3,0,9,4.7,86,61.7,14.1,10.2,27089,63819,880557
Mike Williams ,LAC,WR,10,91,60,28,139.3,66,212.6,7.3,9.3,53.3,0.3,0,5,6,73,81.3,8.9,11.2,4819,39829,733754
Sony Michel,NE,RB,6,92,133,37,139,44.5,233.8,11.3,3.3,92.7,0.3,0.3,18,20.7,43,42.3,69.2,73.7,5028,53640,823041
Mark Andrews,BAL,TE,8,93,28,2,137,78.8,195.1,16.2,10.1,72.5,1.5,0,,8,,45,,26.8,5083,52436,820699
Marquise Brown ,BAL,WR,8,94,64,29,136.5,63.6,209.3,4.2,9.9,22,0.3,0,2,2.7,51,61.7,5.7,6.3,26946,86687,976220
John Ross ,CIN,WR,9,95,68,30,132,59.7,204.3,5.2,6.6,51.3,0,0,6,8,68,61.7,12.8,15.3,4698,41475,747906
Jordan Howard,MIA,RB,11,96,137,38,131.6,43.4,221.8,0,,0,0,0,0,0,1,1,0,0,4325,42142,750802
Zach Ertz,PHI,TE,9,97,35,3,131.2,76,186.6,7.5,9.3,44.5,0.5,0,,8,,84.5,,12.4,3112,29780,503177
Robert Woods,LA,WR,9,98,70,31,130.7,41.3,220,9.2,11.9,72,0.3,0,13,11.7,95,98.3,16.7,15.8,2995,29685,555693
Larry Fitzgerald,ARI,WR,8,99,71,32,130.6,43,218.2,6.5,6.6,45,0.3,0,7,6.3,87,83.7,11.9,11.4,686,6883,246053
Darren Waller,OAK,TE,6,100,38,4,129,72.9,185.1,8.9,8.5,88.7,0,0,10,8,95,88,14.5,12.5,3925,25011,600191
DeAndre Washington,KC,RB,10,101,141,39,128.7,41.8,218.6,10.7,14.4,86.7,0.3,0,26,20.3,74,50.7,48.1,65,4207,32613,605335
Cole Beasley,BUF,WR,11,102,74,33,128.2,57.9,198.6,5.7,10.2,57,0,0,,9,,77,,19.7,2833,22288,460830
Dede Westbrook,JAX,WR,7,103,75,34,127.7,56.6,198.7,5.9,14.7,32.7,0.3,0,8,5.7,61,74.3,19,12.6,4871,60910,865950
DeVante Parker,MIA,WR,11,104,77,35,126.9,44.5,209.2,16.7,5.5,106.7,1,0,11,11,99,92,16.4,15.6,3930,33260,602241
Evan Engram ,NYG,TE,11,105,41,5,126.7,17.6,238.9,,,,,,,,,,,,4679,41872,749185
Boston Scott,PHI,RB,9,106,146,40,126.1,38.3,216.3,13.4,29.9,74,1,0.3,25,15.7,74,48.7,45.5,42.5,5197,43433,749635
Christian Kirk,ARI,WR,8,107,79,36,125.7,55.7,195.7,4.5,5.7,45.3,0,0,11,8,99,94,16.4,12.8,5044,60858,865801
Spencer Ware,KC,RB,10,108,153,41,124.5,38.5,212.2,3.6,0.1,35.5,0,0,,8.5,,37,,33.3,3162,31459,540526
A.J. Brown,TEN,WR,7,109,80,37,124.2,52.8,195.5,16.7,4.1,107,1,0,8,8,79,90,16.3,14,27100,72846,944826
Chris Conley,JAX,WR,7,110,81,38,124,54.8,193.3,10.8,13.1,47.7,1,0,6,6.3,78,81,11.1,12.5,3967,30403,591801
Chris Thompson,JAX,RB,7,111,154,42,124,38.2,211.7,3,4.1,29.7,0,0,6,7,48,45,20,23,3107,24891,509372
Tevin Coleman,SF,RB,11,112,155,43,123.9,38.1,211.7,3,2.2,30.3,0,0,7,5.7,30,34,46.7,31.3,3883,27776,696080
Giovani Bernard,CIN,RB,9,113,157,44,123.8,38,211.5,1.9,3.3,18.7,0,0,4,5.3,26,38.7,22.2,21.3,3016,25290,546076
Jalen Richard,OAK,RB,6,114,158,45,123.7,38,211.6,4.1,3,41.3,0,0,5,6,25,30.7,27.8,27.8,4198,33578,693429
Dare Ogunbowale,TB,RB,13,115,159,46,123.7,35.7,211.5,1.8,3,18,0,0.3,1,2.7,23,29.3,8.3,12.1,21853,28827,703015
Emmanuel Sanders ,NO,WR,6,116,82,39,123.6,41.4,205.9,3.2,5.2,31.7,0,0,4,4.7,92,95,8.7,8.7,1879,11505,324216
Devontae Booker,OAK,RB,6,117,161,47,123.6,38,211.4,0.8,1.5,8,0,0,2,1.7,8,7.3,40,36.7,4149,39580,733248
Dion Lewis,NYG,RB,11,118,162,48,122.9,37.5,210.7,5.8,8,38.3,0.3,0,1,7.3,18,40.7,9.1,21.8,2298,14339,494724
Kyle Juszczyk,SF,RB,11,119,164,49,122.7,37.4,209.8,4.6,4.4,26.3,0.3,0,1,2.3,68,49.7,2.9,9.1,2986,39428,501150
Brandin Cooks,HOU,WR,8,120,83,40,122.3,25.2,233.9,6.2,5.9,41.7,0.3,0,5,6.3,60,63.7,10.2,13.3,3376,29501,607864
Mike Evans,TB,WR,13,121,84,41,121.6,39,204.2,,,,,,,,,,,,3468,32384,593587
James White ,NE,RB,6,122,169,50,120,35.5,206,8.3,9.3,42.7,0.7,0.3,5,6.7,36,39.7,22.7,25,3600,28930,556294
Duke Johnson,HOU,RB,8,123,170,51,119.9,35.4,205.7,5.2,10.1,32,0.3,0.3,10,7,32,36.3,47.6,30.7,3814,25837,691583
Randall Cobb,HOU,WR,8,124,87,42,119,51.5,186.6,5.1,8.1,50.3,0,0,6,5,61,59.7,13,11.5,2229,14257,465949
Diontae Johnson ,PIT,WR,8,125,92,43,117.5,49.5,185.6,8.6,8.7,65.7,0.3,0.7,7,7.7,78,79,17.9,16.6,27079,66008,891115
Hunter Renfrow,OAK,WR,6,126,93,44,117.1,49.7,184.5,16.5,0.5,104.5,1,0.5,9,9,77,61.5,16.1,23.6,27027,57986,841649
George Kittle,SF,TE,11,127,56,6,114.2,61.5,166.9,12.2,4.6,102,0.3,0.3,8,11,94,95,17,19.8,4667,39793,733672
Rex Burkhead,NE,RB,6,128,176,52,113.2,31.8,197.2,11,10.3,70,0.7,0.3,7,8,21,26,53.8,47.1,3630,27338,498760
Robby Anderson,CAR,WR,13,129,109,45,109.1,32.7,185.6,6.5,7.4,38.7,0.3,0,7,5.7,97,96.7,10.8,9.3,4358,26251,608360
Jared Cook,NO,TE,6,130,62,7,108.1,57,159.3,12.1,15,60.7,1,0,2,3.3,38,43.7,7.7,11,1145,7761,296480
Golden Tate,NYG,WR,11,131,111,46,107.9,29.8,186.5,11.2,3.2,71.7,0.7,0,8,7.7,91,77,11.9,13.8,1960,11485,400490
Mecole Hardman,KC,WR,10,132,112,47,107.6,42.7,172.4,3.3,9,13.3,0,0,1,1,31,28,5.9,6.7,27046,71352,922026
Rashaad Penny,SEA,RB,6,133,179,53,106.7,27.9,189.4,,,,,,,,,,,,5025,57840,840691
Tony Pollard,DAL,RB,10,134,180,54,106.2,25.6,188.2,8.9,20.3,69.3,0.3,0.3,16,10.7,36,25,59.3,56.7,27039,63759,880398
Royce Freeman,DEN,RB,8,135,181,55,105.3,24,187.7,4.4,8.9,22.3,0.3,0,3,7.7,39,44,12.5,26.6,5068,55970,835779
Curtis Samuel ,CAR,WR,13,136,116,48,103.8,39.4,168.2,4.9,10.1,29.3,0.3,0,4,7.3,65,77.7,8.7,12.9,4707,52613,821389
James Washington,PIT,WR,8,137,118,49,102.9,39.3,166.5,4.1,8.3,41.3,0,0,3,7.3,88,83,6.8,14.8,5057,55748,835437
Chase Edmonds,ARI,RB,8,138,184,56,102.2,24.4,182.8,0,0,-0.3,0,0,1,0.3,6,2,25,25,5131,83081,832900
Dallas Goedert,PHI,TE,9,139,69,8,101,51.6,150.5,9,9.6,70.3,0.3,0,10,9.3,100,91.3,13.5,13.6,5046,83074,791365
Marvin Hall,DET,WR,5,140,125,50,99.7,35.8,163.7,,,,,,,,,,,,4808,29949,607435
Mike Gesicki,MIA,TE,11,141,72,9,99.4,50.2,148.4,11.4,15.5,54.3,1,0,7,9,75,72,13.7,16.3,5039,56265,836152
Damien Williams,KC,RB,10,142,189,57,97.8,22.2,176.9,21.3,12.2,123,1.5,0,19,19,66,58.5,52.8,53.5,3410,27441,691283
Deebo Samuel,SF,WR,11,143,131,51,95.4,33,157.8,11.7,15.8,77,0.7,0.3,7,6.7,78,83,17.9,14.7,27061,56018,835749
Will Fuller,HOU,WR,8,144,132,52,95.1,13,189.4,3.6,5,36,0,0,,4.5,,61.5,,11.2,4169,42028,749948
Wendell Smallwood,WAS,RB,8,145,191,58,94.5,20.1,172.4,0.2,0.5,1.7,0,0,3,1,6,2,75,75,4224,38509,728035
Danny Amendola,DET,WR,5,146,134,53,91.8,31.2,152.5,6.2,8.1,52.7,0.3,0,5,7,73,80.3,11.4,14.1,1282,8117,263758
Austin Hooper,CLE,TE,9,147,86,10,90.6,44.1,137.1,4.9,6.2,49,0,0,9,8,72,74.3,14.1,14.1,4158,40126,739424
Kenny Stills,HOU,WR,8,148,135,54,89.4,29.1,149.6,10.6,9.8,46,1,0,,6,,73.5,,11.9,3066,27457,542896
Derrius Guice,WAS,RB,8,149,201,59,87.7,15.7,164.2,,,,,,,,,,,,5056,60735,865565
Jimmy Graham,CHI,TE,11,150,95,11,85.1,39.2,131.1,2.2,4.9,21.7,0,0.3,7,4,55,50,14.6,11,1982,11512,295918
Isaiah McKenzie,BUF,WR,11,151,145,55,82.7,24.2,141.2,1.6,3.7,16,0,0,7,3,77,60,14.3,6.9,4692,53639,823040
Marvin Jones ,DET,WR,5,152,147,56,82.4,22.9,146,,,,,,,,,,,,2830,22103,461620
Noah Fant,DEN,TE,8,153,99,12,82.2,36.9,127.6,2.3,5.2,23.3,0,0,2,2.3,59,54.3,5.6,7.2,26822,71705,923911
Kerryon Johnson,DET,RB,5,154,212,60,82,13.2,156.7,7.8,7,48,0.5,0,11,11,45,38.5,40.7,54.8,5040,63806,880548
Blake Jarwin,DAL,TE,10,155,102,13,81.8,36.6,127,1.8,4,18,0,0,1,1.7,47,44,2.8,5.3,18817,27527,711965
JuJu Smith-Schuster,PIT,WR,8,156,151,57,81.3,3.3,166.8,1.4,1.6,14,0,0,6,5,74,76.5,16.2,11.8,4597,55987,835909
Bo Scarbrough,DET,RB,5,157,214,61,80.5,12.1,154.5,3.8,0.8,38,0,0,9,8.5,28,28,52.9,55,5231,56064,835814
Auden Tate,CIN,WR,9,158,163,58,79.6,21.9,137.3,,,,,,,,,,,,5248,64339,883459
Hayden Hurst,ATL,TE,10,159,110,14,79.3,34.6,124,2.1,2.6,21,0,0,2,2.3,46,43.3,6.5,8.4,5023,64031,881956
Matt Breida,MIA,RB,11,160,220,62,78.7,10,151.7,1.1,1.7,11,0,0.7,5,3.7,16,11.7,62.5,56.2,4672,53303,750097
Preston Williams,MIA,WR,11,161,168,59,77.7,19.2,136.2,,,,,,,,,,,,27255,62967,877244
Dontrell Hilliard,CLE,RB,9,162,224,63,77.4,9.5,150,0.2,0.4,2,0,0,,0.5,,7.5,,16.6,26503,52808,821729
Dwayne Haskins ,WAS,QB,8,163,197,27,77.3,0,177.9,17.2,7.7,210,2,0.5,,23,,75,,50.7,26767,73183,946582
Jordan Akins,HOU,TE,8,164,115,15,74.9,31.1,118.6,2,5.4,20.3,0,0,7,3.7,82,68,13.2,7.8,5095,57338,838396
Alexander Mattison,MIN,RB,7,165,234,64,73.6,8.7,145.5,,,,,,,,,,,,27125,72776,944343
Hunter Henry ,LAC,TE,10,166,119,16,72.7,29.4,116,5.9,7.3,38.7,0.3,0.3,6,5,82,79.3,9.5,9.1,4194,40845,744425
Gus Edwards,BAL,RB,8,167,236,65,72.4,7.8,143.7,8,9.7,80,0,0.7,22,13.3,68,46,47.8,39.6,26502,40167,739799
Sammy Watkins,KC,WR,10,168,174,60,72.3,16.8,132,3.5,6.1,28.3,0,0,2,3.7,68,72.3,5.4,7.6,3386,24641,602118
Frank Gore,NYJ,RB,11,169,238,66,72.3,8.1,143.3,1.9,4.2,19,0,0,10,6.7,22,18.3,71.4,41.3,706,6840,157341
Brandon Bolden,NE,RB,6,170,241,67,72.1,7.8,143.4,0,0,0,0,0,0,0,0,2,,0,2664,22898,465752
Anthony Miller,CHI,WR,11,171,175,61,71.7,16.5,127,6.2,17.6,41.7,0.3,0,1,6,27,73.7,5,9.1,5048,41936,749136
C.J. Prosise,SEA,RB,6,172,249,68,71.2,7.9,142.3,2,1.1,19.5,0,0,,5,,17,,48.2,4240,33472,697479
Wes Hills,DET,RB,5,173,261,69,68.6,6.4,138.9,14.2,,22,2,0,,12,,36,,52.2,27404,104282,788307
D'Ernest Johnson,CLE,RB,9,174,267,70,67.7,6,137.7,0,0,0,0,0,0,0,0,1,,0,27258,57543,839043
Dawson Knox,BUF,TE,11,175,127,17,67.4,25.2,109.6,2.2,2.2,22,0,0,,2.5,,61,,6.6,26982,,
Jack Doyle,IND,TE,7,176,129,18,67,24.9,109,1.5,1.5,14.7,0,0,4,4.3,66,81,10.8,9.4,3276,39859,477386
Ameer Abdullah,MIN,RB,7,177,270,71,67,6.5,136.5,4,3.3,39.7,0,0,10,9.3,39,40.3,52.6,44.6,3850,27229,590796
Tyrell Williams,OAK,WR,6,178,178,62,66.8,12.5,121.4,6.2,10.5,42.3,0.3,0,0,2.3,29,70.7,0,3.8,4073,62535,618715
Greg Olsen,SEA,TE,6,179,130,19,66.6,24.5,108.6,2.2,2.1,22.5,0,0,6,5.5,37,47,23.1,17.8,892,6914,230925
Jonathan Williams,IND,RB,7,180,280,72,66.4,5.6,136,0,0,0,0,0,0,0,2,1.3,0,0,4329,31184,693837
Jon Hilliman,NYG,RB,11,181,291,73,65.2,5.4,134.4,,,,,,,,,,,,27328,,
Dalyn Dawkins,TEN,RB,7,182,294,74,64.9,5.3,134.1,2.4,,24,0,0,,9,,26,,56.2,26473,41857,749064
Sterling Shepard,NYG,WR,11,183,182,63,64,12.6,123.7,9.5,9.7,75.3,0.3,0,10,9,89,89.3,15.2,14.9,4245,27477,691278
Josh Adams,NYJ,RB,11,184,318,75,62.8,4.8,131.4,,,,,,,,,,,,26472,64744,884549
Justin Jackson,LAC,RB,10,185,326,76,62.1,4.7,130.3,1.4,0.6,14,0,0,1,4,3,12,50,51.9,5246,55165,830844
Tony Brooks-James,MIN,RB,7,186,328,77,62,4.6,130.2,,,,,,,,,,,,27371,55964,835777
Mohamed Sanu,NE,WR,6,187,186,64,61.7,8.7,121.5,2.4,2.2,24,0,0,5,6,82,88,10,10.5,2799,22018,494313
T.J. Yeldon,BUF,RB,11,188,330,78,61.7,4.6,129.9,4.2,,42,0,0,11,11,64,64,26.8,26.8,3793,31061,651103
Malcolm Brown ,LA,RB,9,189,336,79,61.2,5.3,129,3.1,9.2,10.3,0.3,0,10,4,32,18.7,38.5,17.6,4144,32234,604724
Kerrith Whyte Jr,PIT,RB,8,190,346,80,60.1,4.3,127.7,0.9,2.1,9.3,0,0,3,3.3,8,9.3,75,59.1,27170,61379,866446
Brian Hill,ATL,RB,10,191,347,81,60,4.4,127.5,3.4,5,34.3,0,0,5,4.3,20,18,27.8,29.3,4896,54010,823872
J.D. McKissic,WAS,WR,8,192,187,65,59.5,8.4,112.4,0.4,0.9,4.3,0,0,2,2,13,15.3,25,19.4,4555,43334,608353
Isaiah Ford,MIA,WR,11,193,188,66,58.8,8.8,112.4,5.1,4.7,51.3,0,0,10,7,78,54.7,18.9,16.9,5308,56356,836936
Irv Smith Jr.,MIN,TE,7,194,136,20,58.3,17.9,98.7,2.8,6.4,7.7,0.3,0,2,2.7,45,57,9.1,8.4,27124,72725,944428
Devlin Hodges ,PIT,QB,8,195,211,28,58.3,0,156.5,2.8,4.5,128,0.3,3,26,27.7,100,83.7,52,57,27293,95893,837040
Darrel Williams,KC,RB,10,196,363,82,58.1,4.1,125,,,,,,,,66,58.5,,,26424,52897,822038
Wayne Gallman,NYG,RB,11,197,364,83,57.8,4,124.5,,,,,,,,,,,,4784,39818,733744
Gerald Everett,LA,TE,9,198,138,21,57.2,17.1,97.4,0,0,0,0,0,0,0.5,0,3,,25,4651,57299,838487
O.J. Howard ,TB,TE,13,199,139,22,57.2,17.1,97.3,3.1,4.6,30.7,0,0,0,4.7,75,82.3,0,7.4,4728,39286,732147
Patrick DiMarco,BUF,RB,11,200,366,84,55.7,4.3,121.2,0,0,0,0,0,0,0.3,3,17.3,0,1.3,2921,,406457
Eric Ebron,PIT,TE,8,201,140,23,55.5,15.7,95.4,,,,,,,,,,,,3485,25272,605752
Patrick Laird,MIA,RB,11,202,368,85,55.3,4.4,120.4,4.7,5.1,47,0,0,16,14,88,63.3,26.7,31.7,27253,55941,835694
T.J. Hockenson ,DET,TE,5,203,142,24,55,15.3,94.7,,,,,,,,,,,,26931,71706,923915
Ito Smith,ATL,RB,10,204,370,86,54.7,4.3,119.9,,,,,,,,,,,,5123,55689,835082
T.Y. Hilton,IND,WR,7,205,196,67,54.3,9.1,112.3,4.1,4.7,41,0,0,3,5.3,68,59.7,7.9,16.5,2759,22031,468655
Demetrius Harris,CHI,TE,11,206,144,25,53.4,14,92.8,2.5,6.1,4.7,0.3,0,1,2,59,59.7,3.1,5.4,3531,19342,602269
Dwayne Washington,NO,RB,6,207,380,87,53.4,4.5,117.7,0.7,2,7.3,0,0,2,1.7,7,5.3,40,45,4255,34729,714230
Breshad Perriman,NYJ,WR,11,208,199,68,52.6,6,105.4,19.7,19.4,117.3,1.3,0,8,9,92,92.3,16.7,14.7,4163,34295,652808
Devine Ozigbo,JAX,RB,7,209,384,88,52.6,4.4,117,1.7,5,16.7,0,0,14,4.7,33,11,60.9,60.9,27229,61060,866115
Jeff Wilson,SF,RB,11,210,385,89,52.5,4.5,116.7,0,,0,0,0,,0,,0,,,26540,55552,834195
Jeremy Sprinkle,WAS,TE,8,211,148,26,52.4,13.3,91.6,1.5,0.5,15,0,0,6,3.7,68,71,14.3,8.6,4852,31169,693833
Jonnu Smith,TEN,TE,7,212,149,27,52.4,13.2,91.5,8.2,11.6,62.3,0.3,0,1,3.7,81,81.3,2,6.9,4631,48116,743749
C.J. Ham,MIN,RB,7,213,386,90,52.3,4.7,116,1.1,1.4,11.3,0,0,3,3.7,29,35.3,21.4,19.4,4682,70501,915397
Maxx Williams,ARI,TE,8,214,150,28,52,12.9,91.1,2.1,3.2,21,0,0,2,1.7,60,63.7,4.9,3.9,3858,28346,651658
Jesse James,DET,TE,5,215,152,29,51.7,12.7,90.7,1.6,2.6,16,0,0,3,3,65,60.7,7.7,8.1,4052,28694,652019
Vance McDonald,PIT,TE,8,216,156,30,51.1,12.2,90.1,1.4,1,14,0,0,2,4,88,92.5,4.5,6.8,3093,32045,494969
Danny Vitale ,NE,RB,6,217,387,91,51.1,4.7,114.4,0,0,0,0,0,,0.5,,9,,6.2,4468,28437,691856
Anthony Firkser,TEN,TE,7,218,160,31,50.9,12,89.7,0.4,0.7,4,0,0,2,2.3,29,25.3,11.1,13.7,26163,80294,767297
Jordan Wilkins,IND,RB,7,219,388,92,50.7,4.8,113.6,11.1,6.7,50.5,1,0,,7.5,,38.5,,33,5166,41867,749205
Kalen Ballage,MIA,RB,11,220,389,93,49.9,5,112.4,,,,,,,,,,,,5128,52371,820568
Qadree Ollison,ATL,RB,10,221,390,94,49.7,4.7,112.5,4.4,5.4,4.3,0.7,0,4,2,11,4.3,40,80,26972,55366,832473
Justice Hill,BAL,RB,8,222,391,95,49.6,5,112,7.8,9.6,38.3,0.7,0,12,7.7,28,20.7,63.2,52.3,26945,71521,923109
Javorius Allen,NYG,RB,11,223,392,96,49.1,4.9,111.6,3.4,8.8,13.7,0.3,0,3,3.7,14,12.7,30,29,3855,29645,598989
Tyler Eifert,JAX,TE,7,224,165,32,49,9.6,88.6,7.2,10.3,45,0.3,0,2,5,39,52.3,7.4,11.8,3013,33557,508968
Tyler Higbee,LA,TE,9,225,166,33,49,9.7,88.5,12,4,99.7,0.3,0,12,12.3,96,90,15.2,18.4,4278,47870,604176
Travis Homer,SEA,RB,6,226,393,97,48.8,4.9,111.2,4.7,8.5,47,0,0,15,10,67,41.7,30,36.6,27090,71444,922484
Darrell Henderson,LA,RB,9,227,394,98,48.7,4.9,111,0.4,0.7,3.5,0,0,,1,,1.5,,100,26962,70157,914372
